ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Authors,DataEntry,Consultants,Representations,alt_names,date
212,Romani,vlax1238,Vlax Romani,rmy,Eurasia,46.09,18.16,Indo-European,Donald Kenrick,Mackayla D. Infante-Wong,,Phonemic,Romany;Tsigene;Vlax;rromani ćhib,2007-09-27
213,Avestan,aves1237,Avestan,ave,Eurasia,34.217,62.112,Indo-European,Mary Ritchie Key,Mary Ritchie Key,,Phonemic,Avesta;Pazend,2007-09-27
214,Persian,west2369,Western Farsi,pes,Eurasia,32.9,53.3,Indo-European,John R. Perry,Mary Ritchie Key,Herbert H. Paper,Phonemic,Farsi,2007-09-27
215,Ancient Aramaic,olda1245,Old Aramaic-Sam'alian,oar,Eurasia,32.84,37.0,Afro-Asiatic,Stephen A. Kaufman,Stephen A. Kaufman,Comprehensive Aramaic Lexicon data files,Phonemic,Aramaic (Ancient),2007-10-25
216,Elamite,elam1244,Elamite,elx,Eurasia,31.1833,48.2333,Elamite,Václav Blazek,Mary Ritchie Key,,Phonemic,,2007-10-25
217,Negerhollands,nege1244,Negerhollands,dcr,North America,18.3416,-64.8922,Indo-European,Robin Sabino,Robin Sabino,Mrs. Alice Stevens,Phonemic,Dutch Creole,2007-10-25
218,Jamaican Creole (Limonese Creole dialect),jama1262,Jamaican Creole English,jam,North America,18.13,-77.2612,Indo-European,Anita Hertzfeld;Franklin Perry,Robin Sabino,,Phonemic,Limonese Creole;Limón Creole English;Mekatelyu,2007-10-25
219,Basque,basq1248,Basque,eus,Eurasia,43.2787,-1.31622,Basque,Jean-Baptiste Coyos,Mary Ritchie Key,Etchebarne-Harrixuri family;Etchebarne Battitta family;Estécahandy-Halbide family;Mrs. Coyos (mother of J.-B. Coyos),Phonemic,Euskera;Vascuense,2007-10-25
220,Hausa,haus1257,Hausa,hau,Africa,11.1513,8.7804,Afro-Asiatic,Ronald Cosper,George B. Loveridge;Hilary Young,Garba Mohammed Gital,Phonemic,Abakwariga;Habe;Haoussa;Hausawa;Kado;Mgbakpa,2007-10-25
221,Polci,polc1243,Polci,plj,Africa,10.0258,9.53362,Afro-Asiatic,Ronald Cosper,George B. Loveridge;Hilary Young,Musa Waje;Abdu Sabo,Phonemic,Palchi;Palci;Polchi,2007-10-25
222,Nahuatl (Sierra de Zacapoaxtla variety),high1278,Highland Puebla Nahuatl,azz,North America,20.1554,-97.5556,Uto-Aztecan,Mary Ritchie Key,Mary Ritchie Key,Field work: 1948-1955,Phonemic,"Aztec Zacapoaxtla;Nahuatl, Highland Puebla;Náhuat de la Sierra de Puebla;Sierra Aztec;Zacapoaxtla Náhuat",2007-10-25
223,Chatino (Zacatepec variety),zaca1242,Zacatepec Chatino,ctz,North America,16.08,-97.3069,Otomanguean,Leslie G. Pride and Kitty Pride,Mary Ritchie Key,,Phonemic,"Chatino de San Marcos Zacatepec;Chatino, Zacatepec",2007-10-25
224,Karok,karo1304,Karok,kyh,North America,41.8228,-123.315,Karok,William Bright,Iris Audova;Piret Klesment,,Phonemic,Karuk,2007-10-29
225,Seri,seri1257,Seri,sei,North America,28.9877,-112.384,Seri,Stephen A. Marlett;Mary B. Moser,Mary Ritchie Key,"Summer Institute of Linguistics, University of North Dakota",Phonemic,,2007-10-29
226,Zuni,zuni1245,Zuni,zun,North America,35.0056,-108.782,Zuni,Willard Walker,Iris Audova;Piret Klesment,Lynn Nichols 1992,Phonemic,Shiwi'ma;Zuñi,2007-10-29
227,Northern Haida,nort2938,Northern Haida,hdn,North America,54.004532,-132.079257,Haida,John Campbell,Mary Ritchie Key,JRS = Swanton,Phonemic,Haida Northern;Masset,2007-10-29
228,Tlingit,tlin1245,Tlingit,tli,North America,59.4447,-135.29,Athabaskan-Eyak-Tlingit,Mary Ritchie Key,Mary Ritchie Key,,Phonemic,Thlinget;Tlinkit,2007-10-29
