ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,representations,date,alt_names
256,Siona,,0.31733,-76.0237,sion1247,snn,Phonemic,2007-10-30,Pioche-Sioni;Sioni;Siona;Pioje
257,Tuyuca,,0.39441,-70.0435,tuyu1244,tue,Phonemic,2007-10-30,Tuyuca;Tejuca;Dochkafuara;Tuyuka
258,Aguaruna,,-5.30044,-77.9218,agua1253,agr,Phonemic,2007-10-30,Aguajun;Ahuajun;Aguaruna
260,Yagua,,-3.42913,-72.2186,yagu1244,yad,Phonemic,2007-10-30,Yegua;Llagua;Yagua;Nijyamïï Nikyejaada;Yahua;Yava
261,Baure,,-13.1278,-64.1838,baur1253,brg,Phonemic,2007-10-30,Baure
262,Goajiro,,10.2252,-71.8101,wayu1243,guc,Phonemic,2007-10-30,Goajiro;Guajira;Wayuu;Guajiro
263,Ignaciano,,-15.1188,-65.3993,igna1246,ign,Phonemic,2007-10-30,Ignaciano;Moxos;Mojo;Mojos;Moxo
264,Mashco Piro,,-11.4745,-70.7953,mash1270,cuj,Phonemic,2007-10-30,Mashco Piro;Cujareño;Cujareno
265,Trinitario,,-15.3331,-65.4096,trin1274,trn,Phonemic,2007-10-30,Mojos;Moxos;Trinitario
266,Wapishana,,2.58744,-59.8021,wapi1253,wap,Phonemic,2007-10-30,Wapitxana;Uapixana;Wapisana;Wapixana;Vapidiana;Wapisiana;Wapishshiana;Wapichan;Wapichana;Wapishana
267,Waurá,,-13.296,-53.6971,waur1244,wau,Phonemic,2007-10-30,Waurá;Uaura;Aura;Waura
268,Yavitero,,2.800281,-68.084219,yavi1244,yvt,Phonemic,2007-10-30,Paraene;Yavitero
269,Aymara,,-17.0,-68.5,cent2142,ayr,Phonemic,2007-10-30,Aymara;Aymara Central
270,Chipaya,,-18.7395,-67.8963,chip1262,cap,Phonemic,2007-10-30,Puquina;Chipaya
271,Mosetén,,-14.6445,-67.8376,mose1249,cas,Phonemic,2007-10-30,Tsimane;Chimane;Mosetén;Moseten;Chimané;Tsimané
272,Araona,,-12.4242,-67.7293,arao1248,aro,Phonemic,2007-10-30,Cavina;Araona
273,Cavineña,,-13.3544,-66.6277,cavi1250,cav,Phonemic,2007-10-30,Cavinena;Cavineña
274,Ese Ejja,,-11.7268,-67.515,esee1248,ese,Phonemic,2007-10-30,Huarayo;Ese Eja;Ese Ejja;Ese Exa;Tiatinagua
275,Ese Ejja (Huarayo),,-11.7268,-67.515,esee1248,ese,Phonemic,2007-10-30,Ese Exa;Tiatinagua;Ese Eja;Eseʔexa;Ese ʔexa;Ese Ejja Huarayo
276,Tacana,,-13.3925,-68.0406,taca1256,tna,Phonemic,2007-10-30,Takana;Tacana
277,Cashibo,,-8.70232,-75.4206,cash1251,cbr,Phonemic,2007-10-30,Cachibo;Managua;Hagueti;Cashibo;Cashibo-Cacataibo;Cacataibo;Caxibo;Cacibo;Cahivo
278,Catuquina,,-7.97456,-71.5615,pano1254,knt,Phonemic,2007-10-30,"Kamanawa;Katukina do Jurua;Katukina do Juruá;Catuquina;Katukína Panoan;Katukína, Panoan;Katukina Panoan;Waninnawa;Kamannaua"
279,Chácobo,,-12.133,-66.7164,chac1251,cao,Phonemic,2007-10-30,Chácobo;Chacobo
280,Pacahuara,,-11.9968,-65.5568,paca1246,pcp,Phonemic,2007-10-30,Pacahuara;Pacawara
281,Shipibo-Conibo,,-7.17105,-74.8219,ship1254,shp,Phonemic,2007-10-30,Shipibo Konibo;Shipibo-Conibo;Shipibo Conibo;Shipibo-Konibo
282,Yaminahua,,-9.8846,-71.5964,yami1256,yaa,Phonemic,2007-10-30,Yamanawa;Yaminahua;Yaminawa;Jaminawá;Yuminahua
283,Cayuvava,,-13.2482,-65.4822,cayu1262,cyb,Phonemic,2007-10-30,Cayuvava;Cayubaba;Cayuwaba
284,Itonama,,-12.8043,-64.3575,iton1250,ito,Phonemic,2007-10-30,Saramo;Itonama;Machoto
285,Movima,,-13.8115,-65.6348,movi1243,mzp,Phonemic,2007-10-30,Movima
286,Pacaas Novos,,-10.6995,-64.5615,wari1268,pav,Phonemic,2007-10-30,Pakaasnovos;Pacaas Novos;Wari;Wari';Pakaásnovos;Jaru;Uomo;Pakaanovas;Pacaas-Novos;Pakaanova;Pacahanovo;Oro Wari
287,Mundurukú,,-8.41095,-57.691,mund1330,myu,Phonemic,2007-10-30,Caras-Pretas;Mundurucú;Mundurukú;Mundurucu;Munduruku;Monjoroku;Weidyenye;Paiquize;Pari
288,Aché,,-25.5865,-56.4697,ache1246,guq,Phonemic,2007-10-30,Aché;Guayaki-Ache;Axe;Ache
289,Chiriguano,,-21.0909,-61.7179,east2555,gui,Phonemic,2007-10-30,"Guaraní, Eastern Bolivian;Guarani, Eastern Bolivian;Guarani Eastern Bolivian;Chiriguano"
290,Guaraní,,-25.6055,-57.0882,para1311,gug,Phonemic,2007-10-30,"Guaraní;Avañe'e;Avane'e;Guaraní Paraguayan;Guaraní, Paraguayan;Guarani;Guarani Paraguayan"
291,Sirionó,,-15.5298,-63.9688,siri1273,srq,Phonemic,2007-10-30,Mbya;Sirionó;Siriono;Mbia Chee
292,Wayampi,,1.73817,-52.6887,waya1270,oym,Phonemic,2007-10-30,Oyapí;Oyampí;Wayapi;Oiumpian;Wajapi;Wayãpi;Wayampi;Oiampí
293,Canela,,-6.10712,-45.1299,cane1242,ram,Phonemic,2007-10-30,Canela;Kanela
294,Kaingáng,,-27.7671,-52.5394,kain1272,kgp,Phonemic,2007-10-30,Caingang;Kaingáng;Kaingang;Coroado;Coroados;Bugre
295,Karajá,,-11.1881,-50.3492,kara1500,kpj,Phonemic,2007-10-30,Ynã;Karajá;Karaja;Xambioá;Chamboa;Yna
