ID,Name,Description,Contributors
317,Chechen (Akkin dialect),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
318,Uncunwee,,Robert Williams|Data Entry;Robert Williams|Author
401,Central Thai,,Ilya Peiros|Author
402,Southern Thai (Songkhla variety),,Ilya Peiros|Author
403,Thai (Korat dialect),,Ilya Peiros|Author
404,Khamuang (Chiang Mai variety),,Ilya Peiros|Author
405,Dehong,,Ilya Peiros|Author
406,Jinsha Dai,,Ilya Peiros|Author
407,Tai Lü,,Ilya Peiros|Author
408,Tai Khün,,Ilya Peiros|Author
409,Shan,,Ilya Peiros|Author
410,Shan (Northern Shan dialect),,Ilya Peiros|Author
411,Nung-Fengshan,,Ilya Peiros|Author
412,Nung-Lazhai,,Ilya Peiros|Author
413,Nung-Ninbei,,Ilya Peiros|Author
414,Zhuang-Longzhou,,Ilya Peiros|Author
415,Sui,,Ilya Peiros|Author
416,Maonan,,Ilya Peiros|Author
417,Mulam,,Ilya Peiros|Author
418,Chadong,,Ilya Peiros|Author
419,Southern Kam,,Ilya Peiros|Author
420,Lakkia,,Ilya Peiros|Author
421,Hlai (Baoting variety),,Ilya Peiros|Author
422,Langja Buyang,,Ilya Peiros|Author
423,Ecun Buyang,,Ilya Peiros|Author
424,Sanchong Kelao,,Ilya Peiros|Author
425,Qau Kelao,,Ilya Peiros|Author
500,Aghul (Koshan dialect),,Madzhid Khalilov|Author
501,Botlikh (Miarso dialect),,Madzhid Khalilov|Author
502,Chamalal (Gigatli dialect),,Madzhid Khalilov|Author
503,Dargwa (Chirag dialect),,Madzhid Khalilov|Author
504,Dargwa (Gapshima Shukti dialect),,Madzhid Khalilov|Author
505,Dargwa (Gapshima dialect),,Madzhid Khalilov|Author
506,Dargwa (Gubden dialect),,Madzhid Khalilov|Author
507,Dargwa (Kadar dialect),,Madzhid Khalilov|Author
508,Dargwa (Megeb dialect),,Madzhid Khalilov|Author
509,Dargwa (Mekegi dialect),,Madzhid Khalilov|Author
510,Dargwa (Mugi dialect),,Madzhid Khalilov|Author
511,Dargwa (Sirkhi dialect),,Madzhid Khalilov|Author
512,"Dargwa (Tsudakhar dialect, Tanty subdialect)",,Madzhid Khalilov|Author
513,Dargwa (Tsudakhar dialect),,Madzhid Khalilov|Author
514,Dargwa (Urakhi dialect),,Madzhid Khalilov|Author
515,Dargwa (Usisha dialect),,Madzhid Khalilov|Author
516,Ingush,,Madzhid Khalilov|Author
517,Bezhta (Khasharkhota dialect),,Madzhid Khalilov|Author
518,Kryz,,Madzhid Khalilov|Author
519,Kumyk (Dorgeli dialect),,Madzhid Khalilov|Author
520,Kumyk (Kajtak Tumenler dialect),,Madzhid Khalilov|Author
521,Kumyk (Kajtak dialect),,Madzhid Khalilov|Author
522,Kumyk (Karabudakhkent dialect),,Madzhid Khalilov|Author
523,Kumyk (Ter Bragun dialect),,Madzhid Khalilov|Author
524,Lak (Arakul dialect),,Madzhid Khalilov|Author
525,Lak (Balkhar dialect),,Madzhid Khalilov|Author
526,Lak (Shali dialect),,Madzhid Khalilov|Author
527,Rutul (Borchino Khnow dialect),,Madzhid Khalilov|Author
528,Rutul (Ikhrek dialect),,Madzhid Khalilov|Author
529,Rutul (Mukhrek dialect),,Madzhid Khalilov|Author
530,Rutul (Shinaz dialect),,Madzhid Khalilov|Author
531,"Bezhta (Tljadal dialect, Karauzek subdialect)",,Madzhid Khalilov|Author
532,Tsakhur (Gelmets dialect),,Madzhid Khalilov|Author
533,Tsova-Tush,,Madzhid Khalilov|Author
534,Archi (variety 2),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
701,Bengali,,Anju Saxena|Author;Anju Saxena|Data Entry;Mohini Pimpalkhare|Data Entry
702,Hindi  ,,Anju Saxena|Author;Anju Saxena|Data Entry;Mohini Pimpalkhare|Data Entry
703,Khasi,,Anju Saxena|Author;Marantha T. Wahlang|Author;Marantha T. Wahlang|Data Entry;Muhammad Rafiq|Data Entry
704,Mahasu Pahari (Kotghari dialect),,Anju Saxena|Author;David Karlander|Data Entry
705,Marathi,,Anju Saxena|Author;Mohini Pimpalkhare|Data Entry
706,Nepali,,Anju Saxena|Author;Anju Saxena|Data Entry
707,Punjabi,,Anju Saxena|Author;Mohini Pimpalkhare|Data Entry
708,Tamil,,Anju Saxena|Author;Mohamed Hashim|Data Entry
709,Telugu,,Anju Saxena|Author;David Karlander|Data Entry;Anju Saxena|Data Entry;K. Taraka Rama|Data Entry
710,Tibetan,,Anju Saxena|Author;David Karlander|Data Entry
800,Kme-2 (Kemie variety),,Ilya Peiros|Author
801,Bulang,,Ilya Peiros|Author
802,Bulang-2,,Ilya Peiros|Author
803,Bulang-3,,Ilya Peiros|Author
804,Keme (Kemie variety),,Ilya Peiros|Author
805,Xu,,Ilya Peiros|Author
806,Mang'an B. (MNN),,Ilya Peiros|Author
807,Wa,,Ilya Peiros|Author
808,Rumai,,Ilya Peiros|Author
809,Prai,,Ilya Peiros|Author
810,Pusing,,Ilya Peiros|Author
811,Paliu,,Ilya Peiros|Author
812,PLW (a Palaung variety),,Ilya Peiros|Author
813,DEA (a Palaung variety),,Ilya Peiros|Author
814,Mlabri,,Ilya Peiros|Author
815,Cuoi,,Ilya Peiros|Author
816,Vietnamese,,Ilya Peiros|Author
817,Hanoi Vn,,Ilya Peiros|Author
818,Tho Mun (THM),,Ilya Peiros|Author
819,LiHa,,Ilya Peiros|Author
820,Phong,,Ilya Peiros|Author
821,TUL,,Ilya Peiros|Author
822,Tum,,Ilya Peiros|Author
823,Chut (Ruc variety),,Ilya Peiros|Author
824,Phu Tho M (PHU),,Ilya Peiros|Author
825,Kha Poong,,Ilya Peiros|Author
826,Malieng,,Ilya Peiros|Author
827,Ahlao Th,,Ilya Peiros|Author
828,Thavung So,,Ilya Peiros|Author
829,Nyakur,,Ilya Peiros|Author
830,Pear,,Ilya Peiros|Author
831,SAN,,Ilya Peiros|Author
832,Kasong,,Ilya Peiros|Author
833,Samre,,Ilya Peiros|Author
834,Chong,,Ilya Peiros|Author
835,KNB (a Pearic variety),,Ilya Peiros|Author
836,Surin Khmer,,Ilya Peiros|Author
837,CHNG (a Pearic variety),,Ilya Peiros|Author
838,Iduh,,Ilya Peiros|Author
839,Mang Ch,,Ilya Peiros|Author
840,Mang VN,,Ilya Peiros|Author
